1	251	247	244	241	253
2	240	258	255	241	251
3	241	258	255	240	244
4	255	258	253	240	241
5	258	240	255	251	241
6	258	251	240	255	260
7	255	241	240	258	247
8	240	258	255	251	241
9	240	258	255	251	241
10	240	258	255	251	253
11	240	258	255	244	241
12	244	240	251	241	242
13	255	258	253	240	251
14	255	240	258	251	241
15	240	258	255	251	241
16	251	258	253	255	241
17	253	240	258	255	241
18	255	251	240	258	244
19	258	255	240	251	260
20	255	240	258	251	260
21	241	255	251	258	240
22	258	241	240	255	244
23	240	258	251	255	241
24	240	258	255	251	253
25	258	240	251	253	260
26	258	255	240	251	253
27	251	258	255	253	244
28	258	255	240	241	244
29	240	258	255	241	251
30	240	258	255	241	253
